,sale_day,city,adress,floor,size,price
228,31.10.2022,תל אביב-יפו,שלומציון המלכה 44,רביעית,90,"5,930,000"
229,30.10.2022,תל אביב-יפו,נחל הבשור 23,ראשונה,51.20,"2,410,000"
230,30.10.2022,תל אביב-יפו,שלומציון המלכה 44, ,90,"5,930,000"
231,30.10.2022,תל אביב-יפו,ז'בוטינסקי 91,שלישית,31.50,"4,450,000"
232,27.10.2022,תל אביב-יפו,בר-לב חיים 109,שלישית,72,"1,200,000"
233,27.10.2022,תל אביב-יפו,פיקוס 41,שלישית,47.30,"2,100,000"
234,27.10.2022,תל אביב-יפו,בלוך דוד 34,ראשונה,62,"5,613,000"
235,27.10.2022,תל אביב-יפו,מנדלסון 6,ראשונה,59.94,"4,600,000"
236,26.10.2022,תל אביב-יפו,גר צדק 5,שישית,71,"3,288,000"
237,26.10.2022,תל אביב-יפו,פינלס 11,ראשונה,70,"1,600,000"
238,26.10.2022,תל אביב-יפו,חיננית 4,ראשונה,52,"2,200,000"
239,26.10.2022,תל אביב-יפו,הרב פרנקל 49,שביעית,56,"5,200,000"
240,25.10.2022,תל אביב-יפו,פינסקר 11,שניה,65,"3,500,000"
241,24.10.2022,תל אביב-יפו,מאפו 23,שלישית,75.18,"4,440,000"
242,24.10.2022,תל אביב-יפו,זנגביל 21,ראשונה,66.58,"4,750,000"
243,24.10.2022,תל אביב-יפו,"בן אב""י איתמר 6",רביעית,89,"6,764,000"
244,24.10.2022,תל אביב-יפו,אברבנאל 74,שלישית,67,"3,500,000"
245,23.10.2022,תל אביב-יפו,מקראי קדש 9,רביעית,54.29,"1,125,000"
246,20.10.2022,תל אביב-יפו,יהודה הימית 8,ראשונה,57.60,"3,900,000"
247,20.10.2022,תל אביב-יפו,הגבור האלמוני 34,שניה,57,"700,000"
248,19.10.2022,תל אביב-יפו,קהילת פוזנא 2,ראשונה,41.32,"2,800,000"
249,19.10.2022,תל אביב-יפו,רח 1184 4,שלושים ושתיים,92,"6,557,000"
250,19.10.2022,תל אביב-יפו,החרוב 18,ראשונה,45,"1,851,000"
251,19.10.2022,תל אביב-יפו, ,שניה,66,"1,621,000"
252,18.10.2022,תל אביב-יפו,בורלא יהודה 14,רביעית,78.30,"4,475,000"
253,18.10.2022,תל אביב-יפו,רח 1184 4,שמונה עשרה,92,"6,557,754"
254,15.10.2022,תל אביב-יפו,יוחנן הורקנוס 25,שישית,58,"4,000,000"
255,14.10.2022,תל אביב-יפו, ,קרקע,86.10,"5,970,000"
256,07.10.2022,תל אביב-יפו,עירית 4,רביעית,58.71,"2,250,000"
257,07.10.2022,תל אביב-יפו,פינלס 10,חמישית,59,"4,600,000"
258,06.10.2022,תל אביב-יפו,פינלס 10, ,59,"4,600,000"
259,06.10.2022,תל אביב-יפו,אפלטון 1,שביעית,81,"2,700,000"
260,06.10.2022,תל אביב-יפו,ויצמן 93,שלישית,65.50,"6,250,000"
261,06.10.2022,תל אביב-יפו,מוהליבר 1,ראשונה,102,"5,250,000"
262,06.10.2022,תל אביב-יפו,פילדלפיה 9,שביעית,77.60,"3,350,000"
263,05.10.2022,תל אביב-יפו,פנקס 55, ,88,"6,250,000"
264,05.10.2022,תל אביב-יפו,אפלטון 1, ,81,"2,700,000"
265,03.10.2022,תל אביב-יפו, ,עשרים וארבע,66,"3,878,000"
266,03.10.2022,תל אביב-יפו,בויאר אברהם 6,קומה 6,83.90,"4,500,000"
267,03.10.2022,תל אביב-יפו,יפת 177,שניה,60.11,"2,270,000"
268,03.10.2022,תל אביב-יפו,בועז 26,שניה,62,"2,400,000"
269,02.10.2022,תל אביב-יפו,נחל הבשור 6,רביעית,43,"2,090,000"
270,02.10.2022,תל אביב-יפו,צלילי חנינא 8,חמישית,87.84,"2,650,000"
271,02.10.2022,תל אביב-יפו,"ציהתל""י 43",שניה,47,"2,350,000"
272,02.10.2022,תל אביב-יפו,ולנסיה 19,ראשונה,97,"4,350,000"
273,02.10.2022,תל אביב-יפו,הילדסהיימר 24,שלישית,67,"5,090,000"
274,30.09.2022,תל אביב-יפו,הגבור האלמוני 34,רביעית,57,"2,650,000"
275,30.09.2022,תל אביב-יפו,הצבי 10,שניה,46.96,"1,375,000"
276,29.09.2022,תל אביב-יפו,אוסישקין 4,שניה,61.50,"1,400,000"
277,29.09.2022,תל אביב-יפו,סרלין יוסף 23,שניה,58.80,"2,300,000"
278,29.09.2022,תל אביב-יפו,עמישב 46,שניה,77,"3,000,000"
279,28.09.2022,תל אביב-יפו,סרלין יוסף 9,שמינית,59.30,"1,800,000"
280,28.09.2022,תל אביב-יפו,בנימיני אהרון 5,שמינית,57,"81,000"
281,28.09.2022,תל אביב-יפו,תוצרת הארץ 5,עשרים וארבע,72,"3,829,000"
282,28.09.2022,תל אביב-יפו,ורד 34,ראשונה,68,"2,300,000"
283,27.09.2022,תל אביב-יפו,תוצרת הארץ 5,שישית,90,"3,829,000"
284,23.09.2022,תל אביב-יפו,טור מלכא 12,רביעית,55,"2,328,000"
285,23.09.2022,תל אביב-יפו,בלוך דוד 41,שישית,61,"5,169,000"
286,22.09.2022,תל אביב-יפו,הלסינקי 8,שלישית,49.79,"5,843,000"
287,22.09.2022,תל אביב-יפו,אסתר המלכה 13,קרקע,77.84,"6,150,000"
288,21.09.2022,תל אביב-יפו,אחד העם 25,ראשונה,81,"6,050,000"
289,21.09.2022,תל אביב-יפו,יוסף הנשיא 13,קומה 2,78.26,"4,800,000"
