,sale_day,city,adress,floor,size,price
178,05.01.2023,חיפה,אורן 35,שלוש עשרה,62.50,"1,270,000"
179,05.01.2023,חיפה,אדמונד פלג 50,ראשונה,66.33,"1,260,000"
180,05.01.2023,חיפה,הרופא 12,שביעית,99,"2,200,000"
181,05.01.2023,חיפה,קדושי השואה 19,ראשונה,65.60,"920,000"
182,04.01.2023,חיפה,סמולנסקין 6,קרקע,55.40,"2,200,000"
183,04.01.2023,חיפה,צייטלין אהרון 11,שניה,60.09,"890,000"
184,04.01.2023,חיפה,הגבורים 24,שניה,50.43,"700,000"
185,03.01.2023,חיפה,גדליהו 11,שניה,45.30,"1,030,000"
186,03.01.2023,חיפה,דגניה 11,שניה,46.98,"890,000"
187,03.01.2023,חיפה, ,שניה,82,"2,070,000"
188,03.01.2023,חיפה,עמיקם ישראל 34,שניה,68.53,"1,196,000"
189,02.01.2023,חיפה,בית לחם 55,שניה,60.60,"1,300,000"
190,02.01.2023,חיפה,אחוה 23,שלישית,54,"950,000"
191,02.01.2023,חיפה,יד לבנים 79,קרקע,67.30,"1,060,000"
192,01.01.2023,חיפה,קדושי השואה 3,שלישית,53.28,"800,000"
193,01.01.2023,חיפה,שמש 2,ראשונה,71,"830,000"
194,01.01.2023,חיפה,צבר 11,שניה,63,"1,250,000"
195,01.01.2023,חיפה,בר גיורא 37,ראשונה,78,"1,125,000"
196,01.01.2023,חיפה,כורי 20,שלישית,78,"1,100,000"
197,30.12.2022,חיפה,המגינים 139,ראשונה,57.07,"500,000"
198,29.12.2022,חיפה,קליבנוב 6,שישית,66.30,"1,239,000"
199,29.12.2022,חיפה,יד לבנים 178,שניה,77.50,"990,000"
200,29.12.2022,חיפה,שדה יצחק 34,ראשונה,61.50,"950,000"
201,29.12.2022,חיפה,מסדה 45,ראשונה,68.32,"500,000"
202,29.12.2022,חיפה,שונית 2,שתים עשרה,68,"1,340,000"
203,29.12.2022,חיפה,אורן 32,ראשונה,74.25,"1,272,000"
204,28.12.2022,חיפה,הפרחים 5,שניה,51,"1,150,000"
205,28.12.2022,חיפה,צבר 5,שניה,63,"1,340,000"
206,28.12.2022,חיפה,עובדיה 19,רביעית,63.30,"1,375,000"
207,28.12.2022,חיפה,סילבר אבא הלל 107,שישית,55.90,"1,150,000"
208,28.12.2022,חיפה,"בודנהיימר מקס ד""ר 33",שישית,57.50,"505,000"
209,28.12.2022,חיפה,התיכון 29,קרקע,59.60,"1,405,000"
210,28.12.2022,חיפה,לוטוס 7,רביעית,92,"2,000,000"
211,28.12.2022,חיפה,חן 1,שלוש עשרה,67.53,"1,161,000"
212,27.12.2022,חיפה,בר גיורא 27,ראשונה,59.89,"880,000"
