,sale_day,city,adress,floor,size,price
290,13.09.2022,אשדוד,המלך יהושפט 1,שלישית,69.49,"1,620,000"
291,13.09.2022,אשדוד,"הפלמ""ח 27",ראשונה,77.05,"1,760,000"
292,13.09.2022,אשדוד,"אדמו""ר מפיטסבורג 45",ראשונה,61,"1,665,000"
293,13.09.2022,אשדוד,הדקל 5,תשיעית,90,"2,170,000"
294,13.09.2022,אשדוד,שפירא אברהם 31,שלישית,58.5,"1,850,000"
295,13.09.2022,אשדוד,רב ינאי 50,שניה,81,"1,700,000"
296,13.09.2022,אשדוד,העצמאות 26,שביעית,81.9,"1,870,000"
297,12.09.2022,אשדוד,סיגל 4,שניה,66.9,"1,490,000"
298,12.09.2022,אשדוד,חיבת ציון 45,קומה 1,67.33,"1,525,000"
299,11.09.2022,אשדוד,החמציץ 4,שלישית,60.1,"1,765,000"
300,11.09.2022,אשדוד,הדקל 5,חמישית,90,"2,350,000"
301,10.09.2022,אשדוד,הדקל 5,חמישית,90,"2,350,000"
302,09.09.2022,אשדוד,הרב שאולי 21,ראשונה,60.4,"2,648,000"
303,08.09.2022,אשדוד,אלבז נתן 32,שישית,67,"1,460,000"
304,08.09.2022,אשדוד, ,ראשונה,93,"2,220,000"
305,07.09.2022,אשדוד,ההסתדרות 14,שניה,58.5,"1,276,000"
306,07.09.2022,אשדוד,"הפלמ""ח 9",רביעית,63,"1,470,000"
307,07.09.2022,אשדוד,הדקל 5,רביעית,86,"2,308,000"
308,06.09.2022,אשדוד,הרב שאולי 21,ראשונה,60.4,"2,400,000"
309,06.09.2022,אשדוד,שבזי 1,ראשונה,64.24,"1,445,000"
310,06.09.2022,אשדוד,הרב שאולי 21,רביעית,60.4,"1,930,000"
311,06.09.2022,אשדוד,הדקל 5,רביעית,86,"2,308,000"
312,06.09.2022,אשדוד,המלך דוד 7,ראשונה,76,"1,750,000"
313,06.09.2022,אשדוד,חטיבת גולני 3,חמישית,72,"1,550,000"
314,06.09.2022,אשדוד,בגין מנחם 126,שמינית,88,"2,002,000"
315,05.09.2022,אשדוד,המלך אמציה 23,שניה,61.88,"1,740,000"
316,05.09.2022,אשדוד,הרב שאולי 21, ,97,"1,930,000"
317,04.09.2022,אשדוד,אבן גבירול 15,ראשונה,54,"1,180,000"
318,04.09.2022,אשדוד,פן אלכסנדר 3,שישית,75,"1,750,000"
319,02.09.2022,אשדוד,המלך אמציה 23,שניה,62.03,"1,610,000"
320,01.09.2022,אשדוד,הרותם 1,שניה,60.8,"1,780,000"
321,01.09.2022,אשדוד,יהודה המכבי 1,שלישית,70,"1,600,000"
322,01.09.2022,אשדוד,פתח תקווה 3,שישית,86,"1,640,000"
323,01.09.2022,אשדוד,המלך אמציה 12,שלישית,73.78,"1,750,000"
324,01.09.2022,אשדוד,הרותם 1,שניה,60.8,"1,370,000"
325,31.08.2022,אשדוד,"הפלמ""ח 19",שניה,52,"1,500,000"
326,31.08.2022,אשדוד,הפרחים 22,שביעית,77,"1,580,000"
327,31.08.2022,אשדוד,פן אלכסנדר 3,שמינית,75,"36,600,000"
328,30.08.2022,אשדוד,הרב שאולי 21,שלישית,60.4,"2,130,000"
329,30.08.2022,אשדוד,פן אלכסנדר 3,ארבע עשרה,75,"1,925,000"
330,30.08.2022,אשדוד,הפרחים 22, ,77,"1,580,000"
331,30.08.2022,אשדוד,כוכב השחר 2,קומה 4,79.83,"2,000,000"
332,29.08.2022,אשדוד,הפרחים 22,שביעית,70,"1,200,000"
333,29.08.2022,אשדוד,הרב קוק 31,שלישית,50,"1,400,000"
334,29.08.2022,אשדוד,בגין מנחם 126,שניה,88,"1,880,000"
335,29.08.2022,אשדוד,פן אלכסנדר 3,ארבע עשרה,75,"1,925,000"
336,28.08.2022,אשדוד,המלך עמרי 1,שלישית,66.47,"1,620,000"
337,28.08.2022,אשדוד,מיכשוילי 26,ראשונה,57.9,"1,600,000"
338,28.08.2022,אשדוד,הרב קוק 31, ,65,"1,400,000"
339,28.08.2022,אשדוד,הפרחים 22, ,70,"1,200,000"
340,26.08.2022,אשדוד,המעפילים 4,קומה 0,96,"1,400,000"
341,25.08.2022,אשדוד,הדודאים 3,קומה 0,79,"1,550,000"
342,24.08.2022,אשדוד,הדקל 5,תשיעית,86,"2,414,000"
343,23.08.2022,אשדוד,הדקל 5,תשיעית,86,"2,414,000"
344,22.08.2022,אשדוד,אחד העם 20,שניה,51.75,"1,500,000"
345,21.08.2022,אשדוד,ז'בוטינסקי 14,חמישית,78,"1,510,000"
346,21.08.2022,אשדוד, ,עשירית,96,"1,480,000"
